track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,song,text
Cruel Summer,Taylor Swift,1,2019,8,23,7858,100,800840817,116,207,125,12,548,170,A,Major,55,58,72,11,0,11,15,Cruel Summer,"Hot summer streets and the pavements are burning  
I sit around  
Trying to smile but the air is so heavy and dry  
Strange voices are saying (ah, what did they say)  
Things I can't understand  
It's too close for comfort  
This heat has got right out of hand  
  
It's a cruel, (cruel) cruel summer  
Leaving me here on my own  
It's a cruel, (it's a cruel) cruel summer  
Now you're gone  
You're not the only one  
It's a cruel  
  
The city is crowded, my friends are away, and I'm on my own  
It's too hot to handle so I gotta get up and go, and go  
  
It's a cruel, (cruel) cruel summer  
Leaving me here on my own  
It's a cruel, (it's a cruel) cruel summer  
Now you're gone  
You're not the only one  
  
It's a cruel, (cruel) cruel summer  
(Leaving me) Leaving me here on my own  
It's a cruel, (it's a cruel) cruel summer  
Now you're gone  
You're not the only one  
It's a cruel  
  
Now don't you leave me  
Now don't you leave me  
Now don't you leave me  
Come on, come on  
  
Now don't you leave me  
Now don't you leave me  
Now don't you leave me  
Come on, come on  
  
It's a cruel, (cruel) cruel summer (cruel summer)  
Leaving me here on my own (leaving me here all alone)  
  
It's a cruel (it's a cruel) cruel summer (cruel summer)  
(Don't leave me, leave me in this summer)  
You're not the only one (you're not the only one)  
  
It's a cruel, (cruel) cruel summer (cruel summer)  
(You're not the only one at home)  
Leaving me here on my own  
It's a cruel, (it's a cruel) cruel summer (cruel summer)  
Now you're gone  
You're not the only one (it's a cruel summer)  
Cruel summer (cruel summer)  
It's a cruel summer (it's a cruel)  
Cruel summer (cruel summer)  
It's a cruel summer

"
Columbia,Quevedo,1,2023,7,7,714,43,58149378,25,89,30,13,194,100,F,Major,67,26,71,37,0,11,4,Columbia,"There we were now here we are  
All this confusion nothings the same to me  
There we were now here we are  
All this confusion nothings the same to me  
  
But I can't tell you the way I feel  
Because the way I feel is oh so! new to me  
No I can't sell you the way I feel  
Because the way I feel is oh so! new to me  
  
What I heard is not what I hear  
I can see the signs but they're not very clear  
What I heard is not what I hear  
I can see the signs but they're not very clear  
  
This is confusion am I confusing you?

"
Flowers,Miley Cyrus,1,2023,1,12,12211,115,1316855716,300,215,745,58,"1,021",118,,Major,71,65,68,6,0,3,7,Flowers,"[Lil Wayne]  
Tha Bizness, tha bizness, tha bizness  
Tha bizness, tha bizness  
And Imma give shawty the bizness  
Tha Bizness, tha bizness  
Yeah Imma give mama the bizness  
Tha bizness  
  
[Chorus]  
Like whoa whoa whoa whoa whoa whoa  
I was like whoa whoa whoa whoa whoa oh ohhh  
She was like damn damn damn damn damn damn damn  
And we was like...  
Yeah we was like...  
  
Uh like hey lil mama  
What chu say lil mama  
Can you stay lil mama  
I don't play lil mama  
  
But I shall look deep in ya  
And I will do whatever  
I got a thing for ya ya ya ya...  
  
That's what you say I do do do do  
What I do do do do you you oh oh  
  
[Chorus]  
Like whoa whoa whoa whoa whoa whoa  
I was like whoa whoa whoa whoa whoa oh ohhh  
She was like damn damn damn damn damn damn damn  
And we was like...  
Yeah we was like...  
  
[Lil Wayne]  
Now wait lil mama  
Can I take you on a date lil mama  
If I had my way  
We'd be dating everyday lil mama  
Now wait lil mama  
We can go to my estate lil mama  
You know I ate lil mama  
Like a straight piranha  
Uh uh, her face look flower  
And I taste her flower  
And I take that flower  
And never give it back to  
You, you, you, you, you, you  
  
And it was like whoa whoa whoa whoa whoa whoa whoaa  
And I was like whoa whoa whoa whoa whoa whoa whoaa  
She was like damn damn damn damn damn damn damn  
And we was like damn damn damn  
Yeah we was like damn damn damn  
  
[T-Pain]  
Like hey there shawty  
Look what I bought ya  
It's a brand new ferrari  
Equipped with no top on  
And Ima get something for that  
Yeah you already know that  
Put it on my hope list  
And baby Imma give it to youuu, you you you you you  
Now what we gon do do do do do oh oh oh oh oh oh  
  
He was like WHOA WHOA WHOA WHOA WHOA WHOA WHOA WHOA  
She was like WHOA WHOA WHOA WHOA WHOAAA WHOA WHOA WHOA  
She was like DAMN DAMN DAMN DAMN DAMN  
Cos I hit her with the WHAM WHAM WHAM WHAM WHAM  
BRING IT ON down, down now that I bring it on down  
Bring it on down down down down  
  
Don't you know my name it's Lil Pain, T-Wayne  
What we gon do do do what we gon do do do do

"
Flowers,Lauren Spencer Smith,1,2021,8,9,801,0,184826429,42,9,24,1,1,138,D#,Major,70,31,44,84,0,9,39,Flowers,"[Lil Wayne]  
Tha Bizness, tha bizness, tha bizness  
Tha bizness, tha bizness  
And Imma give shawty the bizness  
Tha Bizness, tha bizness  
Yeah Imma give mama the bizness  
Tha bizness  
  
[Chorus]  
Like whoa whoa whoa whoa whoa whoa  
I was like whoa whoa whoa whoa whoa oh ohhh  
She was like damn damn damn damn damn damn damn  
And we was like...  
Yeah we was like...  
  
Uh like hey lil mama  
What chu say lil mama  
Can you stay lil mama  
I don't play lil mama  
  
But I shall look deep in ya  
And I will do whatever  
I got a thing for ya ya ya ya...  
  
That's what you say I do do do do  
What I do do do do you you oh oh  
  
[Chorus]  
Like whoa whoa whoa whoa whoa whoa  
I was like whoa whoa whoa whoa whoa oh ohhh  
She was like damn damn damn damn damn damn damn  
And we was like...  
Yeah we was like...  
  
[Lil Wayne]  
Now wait lil mama  
Can I take you on a date lil mama  
If I had my way  
We'd be dating everyday lil mama  
Now wait lil mama  
We can go to my estate lil mama  
You know I ate lil mama  
Like a straight piranha  
Uh uh, her face look flower  
And I taste her flower  
And I take that flower  
And never give it back to  
You, you, you, you, you, you  
  
And it was like whoa whoa whoa whoa whoa whoa whoaa  
And I was like whoa whoa whoa whoa whoa whoa whoaa  
She was like damn damn damn damn damn damn damn  
And we was like damn damn damn  
Yeah we was like damn damn damn  
  
[T-Pain]  
Like hey there shawty  
Look what I bought ya  
It's a brand new ferrari  
Equipped with no top on  
And Ima get something for that  
Yeah you already know that  
Put it on my hope list  
And baby Imma give it to youuu, you you you you you  
Now what we gon do do do do do oh oh oh oh oh oh  
  
He was like WHOA WHOA WHOA WHOA WHOA WHOA WHOA WHOA  
She was like WHOA WHOA WHOA WHOA WHOAAA WHOA WHOA WHOA  
She was like DAMN DAMN DAMN DAMN DAMN  
Cos I hit her with the WHAM WHAM WHAM WHAM WHAM  
BRING IT ON down, down now that I bring it on down  
Bring it on down down down down  
  
Don't you know my name it's Lil Pain, T-Wayne  
What we gon do do do what we gon do do do do

"
Daylight,David Kushner,1,2023,4,14,3528,98,387570742,80,156,182,24,"1,281",130,D,Minor,51,32,43,83,0,9,3,Daylight,"To my surprise, and my delight  
I saw sunrise, I saw sunlight  
I am nothing in the dark  
And the clouds burst to show daylight  
  
Ooh and the sun will shine  
Yeah on this heart of mine  
Ooh and I realize  
Who cannot live without  
Ooh come apart without  
It...  
  
On a hilltop, on a sky-rise  
Like a firstborn child  
And at full tilt, and in full flight  
Defeat darkness, breaking daylight  
  
Ooh and the sun will shine  
Yeah on this heart of mine  
Ooh and I realized  
Who cannot live without  
Ooh and come apart without  
Daylight  
  
Slowly breaking through daylight  
Slowly breaking through daylight  
Slowly breaking through daylight  
Slowly breaking through daylight  
X10

"
Daylight,Harry Styles,1,2022,5,20,2775,0,290833204,21,11,40,0,0,146,,Major,69,63,45,48,0,18,4,Daylight,"To my surprise, and my delight  
I saw sunrise, I saw sunlight  
I am nothing in the dark  
And the clouds burst to show daylight  
  
Ooh and the sun will shine  
Yeah on this heart of mine  
Ooh and I realize  
Who cannot live without  
Ooh come apart without  
It...  
  
On a hilltop, on a sky-rise  
Like a firstborn child  
And at full tilt, and in full flight  
Defeat darkness, breaking daylight  
  
Ooh and the sun will shine  
Yeah on this heart of mine  
Ooh and I realized  
Who cannot live without  
Ooh and come apart without  
Daylight  
  
Slowly breaking through daylight  
Slowly breaking through daylight  
Slowly breaking through daylight  
Slowly breaking through daylight  
X10

"
Last Night,Morgan Wallen,1,2023,1,31,2420,19,429829812,52,107,15,1,325,204,F#,Major,52,52,68,46,0,15,4,Last Night,"Last night  
I lost the best friend I ever had  
Last night  
I lost the best friend I ever had  
You know she gone, she gone and left me  
That made me feel, feel so bad  
Now it's early in the morning  
And my love is comin' down for you  
Early in the morning  
And my love is comin' down for you  
I want you to tell me, tell me, tell me baby, now  
What in the world are we gonna do  
If she don't come back  
I don't know what I'm gonna just do  
If she don't never come back  
I don't know what in the world I'm gonna do  
'Cause she's gone and left me  
Left me to see the whole night through

"
Rush,Troye Sivan,1,2023,7,13,864,78,22581161,71,135,50,1,294,126,F,Minor,74,35,84,0,0,11,6,Rush,"Walk with me  
Open your sensitive mouth  
And talk to me  
Hold out your delicate hands  
And feel me  
Couldn't make any plans  
To conceal me  
Open your sensitive mouth  
Hold out your delicate hands  
With such a sensitive mouth  
I'm easy to see through  
When I come up  
When I rush  
I rush for you  
Cry for you  
Seen the tears  
Roll down from my eyes for you  
Heard my truth  
Distorting to lies for you  
Watched my love  
Becoming a prize for you  
Seen the tears in my eyes  
Heard my truth turn to lies  
Seen the tears in my eyes  
I'm not proud of what I do  
When I come up  
When I rush  
I rush for you  
I come up to meet you  
Up there somewhere  
When I rush to greet you  
My soul is bared  
Gave more for you  
Dropped my crutches  
And crawled on the floor for you  
Went looking behind every door for you  
And because of the things  
That I saw for you  
I spiritually grew  
When I come up  
When I rush  
I rush for you  

"
Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,2022,12,2,6036,88,843957510,113,149,245,23,27,98,C#,Minor,71,17,61,36,0,8,5,Creepin',"Hey, everybody won't you lend me your ear,  
There's something to fear, it's here, and that's clear.  
Men gettin' rich off rapin' the land,  
I can't understand, why we don't take them in hand.  
  
Woah, oh ... Lord, I don't want to be their fool no more.  
I don't want to be their fool no more.  
Open eyes, but you're sleepin',  
You best wake up 'fore tomorrow comes creepin' in.  
'Fore tomorrow comes creepin' in.  
  
Feel that our lives are in the hands of fools,  
Loosin' their cool, it's us that they rule.  
Too many people sittin' dead on their ass,  
They ain't got no class, people, this time must pass.  
  
Woah, oh ... Lord, I don't want to be their fool no more.  
Hey ... I don't want to be their fool no more.  
Open eyes, but you're sleepin',  
You best wake up 'fore tomorrow comes creepin' in.  
'Fore tomorrow comes creepin' in.  
  
Woah, oh ... yeah, tomorrow comes creepin'.  
  
Oh ... hear me cryin' 'cause the people like me,  
That long to be free, are not actually.  
Please everybody won't you hear this song,  
Help a country that's wrong, to someday be strong.  
  
Woah, oh ... Lord, I don't want to be their fool no more.  
No! Lord, I don't want to be their fool no more.  
Open eyes, but you're sleepin',  
You best wake up 'fore tomorrow comes creepin'.  
Creepin' ...  
Creepin' ...  
Creepin' ...  
  
Creepin' ...  
Creepin' ...  
Creepin' ...  
Creepin' ...  
Creepin' ...  
Creepin' ...  
  
Tomorrow comes creepin'.  
Tomorrow comes creepin'.  
Tomorrow comes creepin'.  
Tomorrow comes creepin'.  
Tomorrow comes creepin'.  
Tomorrow comes creepin'.  
Tomorrow comes creepin'.  
Tomorrow comes creepin'.

"
Style,Taylor Swift,1,2014,1,1,7830,42,786181836,94,111,151,4,82,95,D,Major,60,48,79,0,0,12,4,Style,"Now here comes a musical shack attack  
Really on truly design to make you rock  
Whether you white or black  
In a pants or frock  
Round a front or back  
Down an bottom or on top  
Is pablo ranks round the microphone a chat  
On the musical shack attack seen (dreadlocks)  
Here them style ya now star  
Ca me say if a don't patton then a style  
A me say is a don't patton them a style (smile)  
A mi say if a don't patton them a style (wicked on wile)  
Say if a don't patton them a style  
  
Mi young a say strong jab know mi well virile  
True mi eant everything them a say that spwile  
Man mi run way left mi yard them a say that mi wile  
Say mi lock the education but mi versatile, true mi  
Sell the callie weel on them mi collect the kile  
Babylon want fi hold mi it is just for a while  
Say mi break out a jail a man use a file  
Say mi head in a the mountain - under low profile  
Mi say if a don't patton them a style (right)  
A me say if a don't patton them a style (flashitta)  
Ca me say if a don't patton then a style (bubble)  
A mi say if a don't patton then a style  
  
But a true say pablo cool pablo wasn't hostile  
Mi rub down fi mi skin yes in a coconut oil  
Me rap ip fi mi weed in a bacofile  
Mi chat the rub a dub fi make the girls them smile  
The blood in a them body (man) me want it fi boil  
With swet a run them back like a engine oil  
With the lyrics them a fire like any missile  
Pablo ranks around the mic as your disciplin child  
Well mi fire fi mi lyrics for a million mile  
All the girls them in the dance say him dea under profile  
  
Ca me say if a don't patton them a style  
A me say if a don't patton them astyle (wicked and wile)  
Say if a don't patton then a style (qwane)  
Ca me say if a don't them a style  
You know say pablo ranks him a you cullicked yard child  
A tell you that patton that a patton  
Me say style a style  
But a snake on a lizard on a crocodile  
But a them dea creature me say call reptile  
But anywhere you go, you know those a pure style  
But a pablo rankin dea ya cause him wicked and wile  
Come fi run down the rubadub in a yard style  
Make the girls them in the dance hall feel fi smile  
Make the blood in a them body (just) starte fi boil  
Make the swet a run them back like a engine oil  
Ca mi fire them ya lyric fire them not like missile  
Me say if a don't patton them a style  
A me say if a don't patton them a style (wicked on wile)  
Say if a don't patton then a style  
Cause me say if a don't patton then a style  
  
I'm young I'm strong jab know mi well verile  
True mi want everything them a say that mispwile  
But run a left mi yard them a say that mi wile  
Say mi lack the education but me versitile  
Cause me sell the callie weed on then collect kile  
Babylon them want fi hold me it is just for a while  
Say me break out a jail an 9 man use a file  
Say me head into the mountain under low profile  
True say 9 man did cool 9 was never hostile  
9 man rub down my skin in coconut oil  
On rap up my weed in bacofoil  
And 9 chat the rubadub fi make the girls them smile  
Cause the blood their body's - 9 want it to boil  
An the swet should run their backs like engine oil  
Me say if it's not fashion then it's style  
A me say if a don't patton them a style  
A me say if a don't patton them a style (wile)  
A mi say if a don't patton them a style  
A fire them ya lyrics like a God dam missile  
A fire them hot for one million miles  
On true them never know me was disaplin child  
Me go to the stadium an pass through the turnstile  
But if 9 feel to walk 9 walk about five miles  
  
Ca me say if a don't patton then a style (right)  
A me say if a don't patton them a style (gwane)  
A me say if a don't patton them a style (kick up)  
A me say if a don't patton it's style  

"
